,Smiles,ID
109,*C(C*)c1ccc(cc1)COCCOCCCC,P020083.mol
110,*C(C*)c1ccc(cc1)C(=O)N(C)C,P020084.mol
111,*C(C*)c1ccc(cc1)C(=O)N(CC)CC,P020085.mol
112,*C(C*)c1ccc(cc1)C(=O)N1CCCCC1,P020086.mol
113,*C(C*)c1ccc(cc1)C(=O)CCN1CCCCC1,P020087.mol
114,*C(C*)c1ccc(cc1)C(=O)N1CCOCC1,P020088.mol
115,*C(C*)c1ccc(cc1)C(=O)OC,P020090.mol
116,*C(C*)c1ccc(cc1)C(=O)OCC,P020091.mol
117,*C(C*)c1ccc(cc1)C(=O)OCCC,P020092.mol
118,*C(C*)c1ccc(cc1)C(=O)OC(C)C,P020093.mol
119,*C(C*)c1ccc(cc1)C(=O)OCCCC,P020094.mol
120,*C(C*)c1ccc(cc1)C(=O)OCC(C)C,P020095.mol
121,*C(C*)c1ccc(cc1)C(=O)OCCCCCC,P020096.mol
122,*C(C*)c1ccc(cc1)C(=O)CC,P020098.mol
123,*C(C*)c1ccc(cc1)C(=O)CCC,P020099.mol
124,*C(C*)c1ccc(cc1)C(=O)CCCC,P020100.mol
125,*C(C*)c1ccc(cc1)C(=O)CCCCC,P020101.mol
126,*C(C*)c1ccc(cc1)C(=O)CCCCCCC,P020102.mol
127,*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,P020103.mol
128,*C(C*)c1ccc(cc1)C(=O)c1ccccc1,P020104.mol
129,*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,P020105.mol
130,*C(C*)c1ccc(cc1)F,P020108.mol
131,*C(C*)c1ccc(cc1)I,P020110.mol
132,*C(C*)c1ccc(cc1)OC,P020112.mol
133,*C(C*)c1ccc(cc1)OCC,P020113.mol
134,*C(C*)c1ccc(cc1)OCCC,P020114.mol
135,*C(C*)c1ccc(cc1)OCCCC,P020115.mol
136,*C(C*)c1ccc(cc1)OCCC(C)C,P020116.mol
137,*C(C*)c1ccc(cc1)Oc1ccccc1,P020117.mol
