,298,380,423,619,724,799,866,984,1116,1160,1196,1510,1514,1519,1533,1572,1760,1769,1781,1794,1895,1937,2020,2095,2217,2247,2273,2329,2411,2416,2437,2480,2493,2508,2578,2584,2606,2706,2728,2814,2818,2854,2857,2925,2984,3093,3155
0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,10,0,2,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,2,0,13
1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0,2,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,13
2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,8,0,2,0,2,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,14
3,0,0,0,1,4,0,0,0,0,2,0,0,2,0,8,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,2,0,8
4,1,0,0,1,4,0,0,0,0,2,0,0,2,0,8,0,2,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,6,0,2,0,0,8,0,0,2,0,8
5,0,0,0,1,2,0,0,0,0,2,0,0,2,0,6,0,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,2,0,9
6,0,0,0,0,2,0,1,0,0,2,0,0,0,0,6,0,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,9
7,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,2,0,9
8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,2,0,2,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,2,0,9
9,1,0,0,0,4,0,0,0,0,2,0,0,0,0,8,0,2,0,2,1,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,5,0,0,2,0,8
10,0,0,0,1,4,0,0,0,0,2,0,0,2,0,8,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,3,0,0,2,0,8
