Name,PID,Smiles,Details,Condition,Reference,Year,He,H2,O2,N2,CO2,CH4,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4
Poly(lactic acid) quenched film,PLA,C(C(O*)=O)(C)*,Polyesters,,http://dx.doi.org/10.1002/pi.2793,2010,,,0.333,,,,,,-0.477555766,,,
Poly(lactic acid) PLA Biophan,PLA,C(C(O*)=O)(C)*,Polyesters,,http://dx.doi.org/10.1002/pi.2793,2010,,,0.281,,,,,,-0.55129368,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Polyetherimide,PEI-II (main chain phthalimidine),C1=C(C=CC(=C1)C2=CC=C(C(=C2)C(F)(F)F)OC3=CC=C(C=C3)C%12(C4=CC=C(C=C4)OC5=C(C=C(C=C5)C6=CC=C(C=C6)N7C(C8=C(C7=O)C=CC(=C8)C(C9=CC=C%10C(=C9)C(N(C%10=O)*)=O)(C(F)(F)F)C(F)(F)F)=O)C(F)(F)F)C%11=C(C=CC=C%11)C(N%12C%13=CC=CC=C%13)=O)*,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809009077,2010,,,10.23,1.71,53.85,1.01,,,1.009875634,0.23299611,1.731185708,0.004321374
Polyetherimide,PEI-III (main chain phthalimidine),C1=C(C=CC(=C1)C2=CC=C(C(=C2)C(F)(F)F)OC3=CC=C(C=C3)C%12(C4=CC=C(C=C4)OC5=C(C=C(C=C5)C6=CC=C(C=C6)N7C(C8=C(C7=O)C=CC(=C8)C(C9=CC=C%10C(=C9)C(N(C%10=O)*)=O)=O)=O)C(F)(F)F)C%11=C(C=CC=C%11)C(N%12C%13=CC=CC=C%13)=O)*,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809009077,2010,,,4.33,0.83,17.09,0.62,,,0.636487896,-0.080921908,1.232742063,-0.207608311
Polyetherimide,PEI-IV (main chain phthalimidine),C1=C(C=CC(=C1)C2=CC=C(C(=C2)C(F)(F)F)OC3=CC=C(C=C3)C%12(C4=CC=C(C=C4)OC5=C(C=C(C=C5)C6=CC=C(C=C6)N7C(C8=C(C7=O)C=CC(=C8)OC9=CC=C%10C(=C9)C(N(C%10=O)*)=O)=O)C(F)(F)F)C%11=C(C=CC=C%11)C(N%12C%13=CC=CC=C%13)=O)*,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809009077,2010,,,4.22,0.96,14.59,0.84,,,0.625312451,-0.017728767,1.164055292,-0.075720714
Polyetherimide,PEI-V (main chain phthalimidine),C1=C(C=CC(=C1)C2=CC=C(C(=C2)C(F)(F)F)OC3=CC=C(C=C3)C%11(C4=CC=C(C=C4)OC5=C(C=C(C=C5)C6=CC=C(C=C6)N7C(C8=C(C7=O)C=C9C(=C8)C(N(C9=O)*)=O)=O)C(F)(F)F)C%10=C(C=CC=C%10)C(N%11C%12=CC=CC=C%12)=O)*,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809009077,2010,,,7.62,1.2,39.57,0.79,,,0.881954971,0.079181246,1.59736605,-0.102372909
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Polyetherimide,PEI-I,C1=C(C=CC2=C1C(=O)N(C2=O)*)C(C3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)OC6=CC=C(C=C6C(F)(F)F)C7=CC=C(C=C7)C8=CC=C(C=C8)C9=CC(=C(C=C9)OC%10=CC=C(C=C%10)*)C(F)(F)F)(C(F)(F)F)C(F)(F)F,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809005365,2009,,,17.08,3.11,36.61,1.51,,,1.232487866,0.492760389,1.563599729,0.178976947
Polyetherimide,PEI-II,C1=C(C=CC2=C1C(=O)N(C2=O)*)C(C3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)OC6=CC=C(C=C6C(F)(F)F)C7=CC=C(C=C7)C8=CC(=C(C=C8)OC9=CC=C(C=C9)*)C(F)(F)F)(C(F)(F)F)C(F)(F)F,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809005365,2009,,,15.17,2.87,33.12,1.19,,,1.180985581,0.457881897,1.520090328,0.075546961
Polyetherimide,PEI-III,C1=C(C=CC2=C1C(=O)N(C2=O)*)C(C3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)OC6=CC=C(C=C6C(F)(F)F)C7=NC(=CC=C7)C8=CC(=C(C=C8)OC9=CC=C(C=C9)*)C(F)(F)F)(C(F)(F)F)C(F)(F)F,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809005365,2009,,,12.15,1.91,51.92,1.95,,,1.084576278,0.281033367,1.715334684,0.290034611
Polyetherimide,PEI-IV,C1=C(C=CC2=C1C(=O)N(C2=O)*)C(C3=CC4=C(C=C3)C(=O)N(C4=O)C5=CC=C(C=C5)OC6=CC=C(C=C6C(F)(F)F)C9=CC=C(C7=CC(=C(C=C7)OC8=CC=C(C=C8)*)C(F)(F)F)S9)(C(F)(F)F)C(F)(F)F,Polyimides and Polypyrrolones,,http://www.sciencedirect.com/science/article/pii/S0376738809005365,2009,,,11.65,1.78,45.31,1.68,,,1.066325925,0.250420002,1.656194062,0.225309282
